text,label,category
"Weekly sync scheduled for Monday at 10 AM to discuss Q3 OKR progress and assign owners for next sprint.",0,business_email
"Thanks for reviewing the design mockups. I have incorporated your feedback on the dashboard layout and typography.",0,business_email
"Please find attached the revised proposal for the enterprise licensing agreement with Apex Technologies.",0,business_email
"The engineering team completed the database migration to PostgreSQL 16 last night. All services are stable.",0,business_email
"Can you review the attached pull request for the authentication refactor? It needs two approvals before merge.",0,business_email
"I have forwarded the signed NDA to legal. We can begin the vendor evaluation next week.",0,business_email
"The quarterly business review is scheduled for Thursday at 2 PM in Conference Room B.",0,business_email
"Following up on our conversation from Tuesday regarding the SLA breach. The root cause analysis is attached.",0,business_email
"Please submit your expense reports for the Chicago conference by end of this week for reimbursement processing.",0,business_email
"The new version of the API documentation has been published to the internal developer portal.",0,business_email
"Could you share the updated project timeline so we can align the resource allocation for next quarter?",0,business_email
"The security audit findings have been reviewed. We need to patch the three critical vulnerabilities by Friday.",0,business_email
"Reminder: all managers should complete the annual budget forecast submission by November 15th.",0,business_email
"The client presentation for Meridian Healthcare is tomorrow at 9 AM. Please review the deck before then.",0,business_email
"I have scheduled a call with the AWS account team to discuss our reserved instance pricing for 2025.",0,business_email
"The new brand guidelines have been approved by leadership. Please update all marketing materials accordingly.",0,business_email
"Our legal team has reviewed the licensing terms. There are two clauses we need to negotiate further.",0,business_email
"The feature freeze for version 3.4 is tomorrow. All pending tickets must be resolved or deferred by tonight.",0,business_email
"Please coordinate with the procurement team to finalize the hardware purchase order for the new data center.",0,business_email
"I have shared the competitive analysis report in the shared drive under the Strategy folder.",0,business_email
"The product roadmap for H2 has been approved. I will schedule a kickoff call with all stakeholders next week.",0,business_email
"Our Salesforce integration is now live in production. The sales team can start tracking pipeline activities.",0,business_email
"Following up on the vendor contract renewal. The deadline is December 1st and we need sign-off from finance.",0,business_email
"The load testing results for the payment gateway are in. Performance looks good at 5000 concurrent users.",0,business_email
"Please confirm your availability for the cross-functional planning session on the 18th at 3 PM.",0,business_email
"The data retention policy update has been approved by the compliance team and takes effect next month.",0,business_email
"I have completed the technical scoping for the mobile app redesign. The estimate is six weeks.",0,business_email
"Heads up: the dev environment will be down for maintenance this Saturday from midnight to 6 AM.",0,business_email
"The customer success team needs a demo environment ready for the Acme Corp pilot starting Monday.",0,business_email
"Please review and approve the attached purchase order for the cybersecurity training licenses.",0,business_email
"We are moving forward with the cloud provider switch to Azure. The migration plan is attached for review.",0,business_email
"The analytics pipeline is now ingesting data from all regional offices. Dashboard should update hourly.",0,business_email
"I have drafted the terms of service update. Please review section 4 regarding data processing agreements.",0,business_email
"The UX research findings from last month are ready. I am scheduling a readout session for next Tuesday.",0,business_email
"Please make sure the disaster recovery documentation is updated before the ISO audit next month.",0,business_email
"The Jira board has been restructured to align with the new team topology. Please update your sprint tickets.",0,business_email
"Our Q4 hiring plan has been approved. We are adding three engineers and one product manager.",0,business_email
"The infrastructure cost for October came in under budget. Detailed breakdown is in the finance report.",0,business_email
"I need the feature specification document finalized by Wednesday so the design team can start wireframes.",0,business_email
"The integration with Stripe for payment processing is ready for QA testing in the staging environment.",0,business_email
"Team call at 4 PM to walk through the post-incident review findings. Please come prepared with your notes.",0,business_email
"The contract with DataStream Inc. has been executed. Their team will onboard next week.",0,business_email
"Marketing needs the product feature list by Friday for the upcoming trade show promotional materials.",0,business_email
"The support ticket volume is up 20% this month. Let us discuss staffing options in tomorrow's ops review.",0,business_email
"Please coordinate with DevOps to set up the CI/CD pipeline for the new microservices architecture.",0,business_email
"The pilot program with GreenLeaf Corp went well. They are ready to sign the full contract.",0,business_email
"I have reviewed the architecture proposal. The event-driven approach makes sense for the scale we need.",0,business_email
"Our penetration testing vendor has submitted their final report. The remediation plan is due in two weeks.",0,business_email
"The monthly engineering all-hands is scheduled for the last Friday of this month at noon.",0,business_email
"Please update the runbook for the payment service to reflect the new failover procedure implemented last week.",0,business_email
"Good morning team. Today we have the product demo at 2 PM and the retrospective at 4 PM.",0,internal_comms
"Quick update: the office kitchen will be closed for renovations from Monday through Wednesday next week.",0,internal_comms
"Reminder that timesheets are due by 5 PM on Friday. Please make sure all hours are correctly logged.",0,internal_comms
"The all-hands meeting recording has been posted to the internal wiki. Please watch it before our team call.",0,internal_comms
"Congratulations to Sarah and the platform team for the successful zero-downtime deployment last night.",0,internal_comms
"Heads up: there will be a network maintenance window this Sunday from 2 AM to 5 AM Pacific time.",0,internal_comms
"The parking validation system in the office garage has been updated. Please see the instructions from facilities.",0,internal_comms
